,copyrightYear,doi,abstract
0,1950,10.1103/RevModPhys.22.221,"A summarizing account is given of the research on barium titanate in progress at the Laboratory for Insulation Research at M. I. T. since 1943. The investigations have led to an understanding of the mechanism of ferroelectricity in the titanates and to discoveries such as the piezoelectric effect in the ceramics and the domain structure of the single crystals of BaTiO3. The high dielectric constant, field strength and temperature sensitivity, and piezo-response of the barium titanate dielectrics make them useful for numerous technical applications."
1,1951,10.1103/RevModPhys.23.147,"New tables of coulomb functions are presented along with an introduction to their use. The ranges of parameters covered by the tabulations are those required for the calculation of reactions of protons, deuterons, and alpha-particles with the lighter nuclei, from hydrogen to oxygen, in the energy range of a few Mev. For alpha-particles the tables suffice for treatment of reactions up to about 10 Mev for Z=9 (F) and 5 Mev for Z=2 (He), while for protons the energy range covered is about 4 times that for alpha-particles. An indication of the principal applications of coulomb functions is given."
2,1951,10.1103/RevModPhys.23.185,"Ionization by electron impact in diatomic gases has been studied in this work with a mass spectrometer designed to measure me, appearance potential, and initial kinetic energy for each ion observed. Results have been obtained for the gases CO, N2, NO, and O2 with some confirmatory work in H2. Discussion is included of the nature and identification of dissociative ionization processes and of the retarding potential and appearance potential measurements. Values of important quantities such as the dissociation energies of CO, N2, and NO; the sublimation energy of C; the electron affinity of O; and the excitation energy of O- are determined again by electron impact in this work."
3,1951,10.1103/RevModPhys.23.203,"It is shown that the conductivity in the ohmic part of the cuprous oxide layer can be explained with the usual band picture of semiconductors only by assuming the presence of some donor-type impurities in addition to the usual acceptor type. The energy difference between the acceptors and the filled band is 0.3 electron volt, and the total number of impurity atoms is about 1014 to 1016 per cm3, the number of donors being less than but of the same order as the number of acceptors. Applying the Schottky theory of the space charge exhaustion layer, one finds from the dependence of capacity of the rectifier on bias voltage that the density of ion charge in the rectifying layer is of the same order of magnitude as the difference between the donors and acceptors found from the conductivity, thus furnishing a check for the theory. The field at the copper-cuprous oxide interface calculated from the space charge is about 2104 volts/cm; the height of the potential at the surface as compared with the oxide interior is about 0.5 volt; and the thickness of the space charge layer about 5.010-5 cm. The diffusion equation for flow of current through this space charge region can be integrated to give the current in terms of the field at the interface and the applied potential across the space charge layer. Two currents are involved, one from the semiconductor to the metal (Is) and one from the metal to the semiconductor (Im) which is similar to a thermionic emission current into the semiconductor. The net current is, of course, I=Im-Is. One can get this ""emission"" current (Im) by dividing the true current by the factor 1-exp(-eVakT), where Va is the applied potential. This emission current depends on the absolute temperature and on the field at the copper-cuprous oxide interface. At high fields the logarithm of the current is proportional to the square root of the field, and at low fields the current decreases more rapidly indicating a patchy surface having small areas of low potential maximum from which all the emission comes when the field is large. This effective potential maximum measured from the Fermi level in the copper is about 0.5 ev, and the fraction of the total area effective ranges from 10-2 to 10-5 depending on how the rectifier was made. This last factorthe fraction of the area having this low potential maximumis by far the most important variable, resulting in low reverse currents when the fraction is small and large reverse currents when the fraction is large."
4,1951,10.1103/RevModPhys.23.21,"The factorization method is an operational procedure which enables us to answer, in a direct manner, questions about eigenvalue problems which are of importance to physicists. The underlying idea is to consider a pair of first-order differential-difference equations which are equivalent to a given second-order differential equation with boundary conditions. For a large class of such differential equations the method enables us to find immediately the eigenvalues and a manufacturing process for the normalized eigenfunctions. These results are obtained merely by consulting a table of the six possible factorization types.  The manufacturing process is also used for the calculation of transition probabilities.  The method is generalized so that it will handle perturbation problems."
5,1951,10.1103/RevModPhys.23.311,A brief account is given of Dyson's proof of the finiteness after renormalization of the matrix elements for scattering processes (S-matrix elements) in electrodynamics (interaction of photons and electrons). It is shown to which meson interactions this proof can be extended and some of the difficulties which arose in this extension are discussed.
6,1951,10.1103/RevModPhys.23.315,A systematics is given of all transitions for odd A nuclei for which sufficiently reliable data are available. The allowed or forbidden characters of the transitions are correlated with the positions of the initial and final odd nucleon groups in the nuclear shell scheme. The nuclear shells show definite characteristics with respect to parity of the ground states. The latter is the same as the one obtained from known spins and magnetic moments in a one-particle interpretation.
7,1951,10.1103/RevModPhys.23.322,"A systematics of the -transitions of even A nuclei is given. An interpretation of the character of the transitions in terms of nuclear shell structure is achieved on the hypothesis that the odd nucleon groups have the same structure as in odd A nuclei, together with a simple coupling rule between the neutron and proton groups in odd-odd nuclei."
8,1951,10.1103/RevModPhys.23.328,"The available experiments on the absorption spectra, photoelectric, and photolytic properties of the silver halide crystals are re-analyzed and interpreted. The conclusions drawn may be regarded in the nature of extensions of the Gurney-Mott theory of photolytic action. The principal speculative viewpoints are as follows:  1. The characteristic absorption spectra of the pure salts derive much of their structure from forbidden optical transitions associated with lattice distortion arising from dislocations. It is proposed that in materials prepared from the melt the dislocations are formed by condensation of lattice vacancies associated with about 0.1 percent of Schottky defects.  2. It is also concluded that some of the absorption structure is associated with ""forbidden"" d10d9s transitions in the silver ions.  3. It is proposed that the electron traps which are responsible for the early deposits of photolytic silver are incipient halogen-ion vacancies which have an effective charge +e2. These vacancies occur at jogs in dislocation lines, where such lines pass from one slip plane to a parallel plane, and may be enhanced by plastic flow. Incipient positive-ion vacancies, having an effective charge -e2, also occur and act as nuclei for forming halogen clusters whose absorption bands are hidden behind the fundamental band.  4. At room temperature, the photoelectrons may be trapped by interstitial silver ions before ending at incipient halogen-ion vacancies; however this process represents only a temporary delay since the entire silver atom may migrate to the dislocation.  5. It is suggested that the addition of sulfur to the silver halides plays a role in enhancing darkenability in three ways: (a) By forming precipitates which produce distortion that enhances the number of incipient vacancies; (b) by extending the absorption spectrum toward the red end of the spectrum; and (c) by increasing the equilibrium density of interstitial silver ions.  6. It is proposed that the luminescent radiation observed in pure silver halides by Farnell, Burton, and Hallama arises from transitions within the silver ion. The emitting ions are at dislocations in AgCl and AgBr.     A sequence of experiments is suggested."
9,1952,10.1103/RevModPhys.24.108,"The classical theory of the dynamics of viscous fluids is based on the assumption that there is only one fundamental coefficient of viscosity, , the coefficient of shear viscosity. The other quantity, , the second coefficient of viscosity, is assumed to be equal to -23 in order that (=(2+3)3), the coefficient of bulk viscosity, should be zero. In making this assumption classical hydrodynamics parts company from classical elasticity, in which two fundamental quantities, the Lam constants  and , are introduced.  The above assumption seems to have some basis in theory only in the case of ideal monatomic gases; it has, however, been carried over implicitly to both liquids and gases of all degrees of complexity. One might therefore expect some differences to exist between theoretical predictions and experimental results due to this oversimplification. The present review has been undertaken with a view to exploring the existence and the magnitude of any such differences.  Up to the present, discrepancies have been noticed in the field of investigation which deals with the transmission of sound energy through liquid and gases.  As far as liquids are concerned no work has been done on the absorption of energy associated with vibrations in the sonic range (20 to 20,000 vibrations per second). In the ultrasonic range experimental values of absorption differ from the theoretical ones by factors ranging from 3 to 1000. In gases, both in the sonic and supersonic ranges, the values differ by a factor whose magnitude lies in the range of 4 to 100.  Most of the work which has been done in this field has been concerned with the passage through liquids of sound energy in the ultrasonic range of frequencies. Here it is clear that the value of  deduced from experiment is in good agreement with the value of the ratio deduced from information on excess absorption of energy. The viscosity ratio is never negative; its value ranges from about 1 to about 120 in the cases so far investigated."
